SalesKey,OrderID,OrderLineNumber,OrderDateKey,ShipDateKey,CustomerKey,GeographyKey,RegionKey,ProductKey,ChannelKey,SalesRepKey,SalesAmount,GrossSalesAmount,DiscountAmount,DiscountPct,Quantity,UnitPrice,CostAmount,ProfitAmount,ReturnedFlag
1,ORD-202401-00002,1,20240101,20240104,216,14,5,6,1,11,444.15,462.34,18.19,0.0393,2,231.17,291.15,153.0,0
2,ORD-202401-00002,2,20240101,20240104,216,14,5,2,1,11,541.51,563.64,22.13,0.0393,3,187.88,340.65,200.86,0
3,ORD-202401-00044,1,20240101,20240102,169,9,3,15,3,6,135.57,141.76,6.19,0.0437,8,17.72,106.48,29.09,0
4,ORD-202401-00044,2,20240101,20240102,169,9,3,10,3,6,154.22,155.88,1.66,0.0107,9,17.32,86.71,67.51,1
5,ORD-202401-00044,3,20240101,20240102,169,9,3,18,3,6,189.81,194.22,4.41,0.0227,13,14.94,99.65,90.16,0
6,ORD-202401-00075,1,20240101,20240105,240,2,1,8,2,8,236.67,246.02,9.35,0.038,2,123.01,190.21,46.46,0
7,ORD-202401-00075,2,20240101,20240105,240,2,1,20,2,8,355.06,367.0,11.94,0.0325,10,36.7,214.32,140.75,0
8,ORD-202401-00094,1,20240101,20240105,139,9,3,22,3,6,462.06,479.0,16.94,0.0354,5,95.8,284.93,177.13,0
9,ORD-202401-00094,2,20240101,20240105,139,9,3,27,3,6,818.06,870.44,52.38,0.0602,2,435.22,666.21,151.85,0
10,ORD-202401-00094,3,20240101,20240105,139,9,3,21,3,6,189.59,197.43,7.84,0.0397,3,65.81,123.57,66.02,0
11,ORD-202401-00112,1,20240101,20240104,131,8,3,25,1,6,1280.8,1318.24,37.44,0.0284,4,329.56,1003.15,277.65,0
12,ORD-202401-00134,1,20240101,20240104,116,1,1,9,1,7,324.87,333.24,8.37,0.0251,12,27.77,197.95,126.93,0
13,ORD-202401-00134,2,20240101,20240104,116,1,1,3,1,7,617.01,641.12,24.11,0.0376,1,641.12,454.3,162.71,0
14,ORD-202401-00134,3,20240101,20240104,116,1,1,20,1,7,191.22,194.75,3.53,0.0181,5,38.95,106.35,84.87,0
15,ORD-202401-00037,1,20240102,20240104,57,1,1,4,4,8,864.41,891.58,27.17,0.0305,1,891.58,620.09,244.31,0
16,ORD-202401-00051,1,20240102,20240105,223,12,4,24,4,12,2045.62,2110.57,64.95,0.0308,1,2110.57,1489.49,556.14,0
17,ORD-202401-00051,2,20240102,20240105,223,12,4,27,4,12,425.54,437.54,12.0,0.0274,1,437.54,336.39,89.15,0
18,ORD-202401-00054,1,20240102,20240105,103,13,5,21,4,11,431.27,449.94,18.67,0.0415,6,74.99,248.72,182.55,0
19,ORD-202401-00054,2,20240102,20240105,103,13,5,6,4,11,1044.69,1102.35,57.66,0.0523,5,220.47,706.39,338.31,0
20,ORD-202401-00087,1,20240102,20240105,162,12,4,13,3,12,127.84,130.46,2.62,0.0201,11,11.86,54.24,73.6,0
21,ORD-202401-00087,2,20240102,20240105,162,12,4,22,3,12,84.82,87.96,3.14,0.0357,1,87.96,55.33,29.49,0
22,ORD-202401-00087,3,20240102,20240105,162,12,4,16,3,12,133.7,138.9,5.2,0.0374,10,13.89,100.1,33.61,0
23,ORD-202401-00120,1,20240102,20240103,163,11,4,6,1,4,671.06,700.62,29.56,0.0422,3,233.54,426.83,244.23,0
24,ORD-202401-00151,1,20240102,20240104,165,14,5,21,1,2,455.5,470.04,14.54,0.0309,6,78.34,250.71,204.79,0
25,ORD-202401-00151,2,20240102,20240104,165,14,5,18,1,2,154.8,157.3,2.5,0.0159,11,14.3,81.93,72.86,0
26,ORD-202401-00151,3,20240102,20240104,165,14,5,13,1,2,148.21,153.75,5.54,0.036,15,10.25,77.07,71.14,0
27,ORD-202401-00151,4,20240102,20240104,165,14,5,4,1,2,2315.43,2457.39,141.96,0.0578,3,819.13,1755.92,559.51,1
28,ORD-202401-00033,1,20240103,20240105,119,15,5,19,4,1,146.97,150.34,3.37,0.0224,1,150.34,92.16,54.81,0
29,ORD-202401-00033,2,20240103,20240105,119,15,5,14,4,1,96.54,97.0,0.46,0.0047,10,9.7,41.56,54.98,0
30,ORD-202401-00033,3,20240103,20240105,119,15,5,23,4,1,4456.53,4655.16,198.63,0.0427,3,1551.72,3199.13,1257.4,0
31,ORD-202401-00033,4,20240103,20240105,119,15,5,11,4,1,213.43,214.1,0.67,0.0031,10,21.41,126.14,87.29,0
32,ORD-202401-00040,1,20240103,20240106,98,3,1,10,2,8,235.97,242.9,6.93,0.0285,14,17.35,140.86,95.11,0
33,ORD-202401-00040,2,20240103,20240106,98,3,1,25,2,8,1534.04,1607.75,73.71,0.0458,5,321.55,1237.16,296.88,0
34,ORD-202401-00040,3,20240103,20240106,98,3,1,15,2,8,296.08,304.96,8.88,0.0291,16,19.06,222.33,73.75,0
35,ORD-202401-00040,4,20240103,20240106,98,3,1,23,2,8,6195.36,6410.16,214.8,0.0335,4,1602.54,4615.19,1580.17,0
36,ORD-202401-00078,1,20240103,20240104,143,6,2,28,3,10,212.85,227.0,14.15,0.0623,1,227.0,197.63,15.22,0
37,ORD-202401-00104,1,20240103,20240108,159,7,3,9,2,6,331.87,341.52,9.65,0.0283,12,28.46,196.58,135.29,0
38,ORD-202401-00104,2,20240103,20240108,159,7,3,19,2,6,841.82,882.48,40.66,0.0461,6,147.08,543.33,298.49,0
39,ORD-202401-00104,3,20240103,20240108,159,7,3,20,2,6,276.21,284.48,8.27,0.0291,8,35.56,169.9,106.31,0
40,ORD-202401-00107,1,20240103,20240106,34,8,3,5,1,6,979.27,1035.09,55.82,0.0539,3,345.03,720.84,258.42,0
41,ORD-202401-00107,2,20240103,20240106,34,8,3,24,1,6,1800.61,1808.62,8.01,0.0044,1,1808.62,1484.43,316.17,0
42,ORD-202401-00001,1,20240104,20240106,244,3,1,25,1,8,920.95,935.91,14.96,0.016,3,311.97,720.23,200.72,0
43,ORD-202401-00001,2,20240104,20240106,244,3,1,27,1,8,1480.98,1526.68,45.7,0.0299,4,381.67,1365.59,115.4,0
44,ORD-202401-00001,3,20240104,20240106,244,3,1,21,1,8,359.5,361.15,1.65,0.0046,5,72.23,203.93,155.56,0
45,ORD-202401-00001,4,20240104,20240106,244,3,1,6,1,8,914.98,936.88,21.9,0.0234,4,234.22,589.89,325.09,0
46,ORD-202401-00015,1,20240104,20240106,99,8,3,18,4,5,85.16,86.88,1.72,0.0198,6,14.48,43.59,41.57,0
47,ORD-202401-00015,2,20240104,20240106,99,8,3,20,4,5,154.91,155.52,0.61,0.0039,4,38.88,82.0,72.91,0
48,ORD-202401-00015,3,20240104,20240106,99,8,3,21,4,5,277.83,293.56,15.73,0.0536,4,73.39,164.59,113.25,0
49,ORD-202401-00025,1,20240104,20240106,98,3,1,1,3,7,563.37,589.54,26.17,0.0444,2,294.77,385.57,177.8,0
50,ORD-202401-00025,2,20240104,20240106,98,3,1,19,3,7,450.9,456.09,5.19,0.0114,3,152.03,273.73,177.18,0
51,ORD-202401-00025,3,20240104,20240106,98,3,1,18,3,7,164.45,167.88,3.43,0.0205,12,13.99,91.53,72.92,0
52,ORD-202401-00025,4,20240104,20240106,98,3,1,23,3,7,5793.78,5939.96,146.18,0.0246,4,1484.99,4528.39,1265.39,0
53,ORD-202401-00073,1,20240104,20240110,109,12,4,20,2,4,430.99,446.05,15.06,0.0338,11,40.55,230.87,200.12,0
54,ORD-202401-00079,1,20240104,20240110,7,5,2,5,2,10,1395.48,1471.4,75.92,0.0516,4,367.85,1020.01,375.47,0
55,ORD-202401-00141,1,20240104,20240109,207,12,4,1,2,12,1528.54,1582.8,54.26,0.0343,5,316.56,931.77,596.77,0
56,ORD-202401-00141,2,20240104,20240109,207,12,4,27,2,12,1717.24,1869.15,151.91,0.0813,5,373.83,1683.18,34.05,0
57,ORD-202401-00167,1,20240104,20240105,30,6,2,10,3,10,202.01,204.38,2.37,0.0116,11,18.58,110.81,91.21,0
58,ORD-202401-00167,2,20240104,20240105,30,6,2,16,3,10,136.48,138.6,2.12,0.0153,10,13.86,106.5,29.98,0
59,ORD-202401-00167,3,20240104,20240105,30,6,2,1,3,10,846.61,889.86,43.25,0.0486,3,296.62,598.72,247.89,0
60,ORD-202401-00169,1,20240104,20240108,114,14,5,15,4,11,178.08,181.17,3.09,0.0171,9,20.13,123.74,54.34,0
61,ORD-202401-00169,2,20240104,20240108,114,14,5,19,4,11,431.4,443.46,12.06,0.0272,3,147.82,268.59,162.82,0
62,ORD-202401-00007,1,20240105,20240107,56,15,5,16,1,2,197.88,206.36,8.48,0.0411,14,14.74,144.48,53.4,0
63,ORD-202401-00007,2,20240105,20240107,56,15,5,15,1,2,235.95,240.36,4.41,0.0183,12,20.03,163.56,72.39,0
64,ORD-202401-00019,1,20240105,20240108,14,13,5,6,3,1,1184.48,1246.65,62.17,0.0499,5,249.33,721.09,463.39,0
65,ORD-202401-00019,2,20240105,20240108,14,13,5,15,3,1,188.62,193.3,4.68,0.0242,10,19.33,131.97,56.64,0
66,ORD-202401-00019,3,20240105,20240108,14,13,5,19,3,1,761.29,784.4,23.11,0.0295,5,156.88,460.87,300.42,0
67,ORD-202401-00019,4,20240105,20240108,14,13,5,17,3,1,98.3,101.12,2.82,0.0279,8,12.64,46.58,51.72,0
68,ORD-202401-00021,1,20240105,20240107,188,13,5,10,4,1,123.79,129.5,5.71,0.0441,7,18.5,68.13,55.67,0
69,ORD-202401-00021,2,20240105,20240107,188,13,5,17,4,1,175.12,181.44,6.32,0.0348,14,12.96,81.81,93.31,0
70,ORD-202401-00021,3,20240105,20240107,188,13,5,3,4,1,1226.21,1294.98,68.77,0.0531,2,647.49,877.08,349.13,0
71,ORD-202401-00057,1,20240105,20240111,68,12,4,18,2,4,422.69,434.16,11.47,0.0264,27,16.08,204.54,218.15,0
72,ORD-202401-00057,2,20240105,20240111,68,12,4,14,2,4,185.13,192.28,7.15,0.0372,19,10.12,80.18,104.95,0
73,ORD-202401-00057,3,20240105,20240111,68,12,4,13,2,4,221.38,227.01,5.63,0.0248,21,10.81,110.17,111.21,0
74,ORD-202401-00084,1,20240105,20240107,188,13,5,2,4,11,533.94,549.06,15.12,0.0275,3,183.02,354.57,179.37,0
75,ORD-202401-00084,2,20240105,20240107,188,13,5,18,4,11,120.6,123.36,2.76,0.0224,8,15.42,58.65,61.94,0
76,ORD-202401-00084,3,20240105,20240107,188,13,5,5,4,11,967.62,988.2,20.58,0.0208,3,329.4,718.96,248.66,0
77,ORD-202401-00160,1,20240105,20240109,96,9,3,20,2,5,241.08,250.38,9.3,0.0372,6,41.73,131.94,109.14,0
78,ORD-202401-00160,2,20240105,20240109,96,9,3,10,2,5,223.75,231.24,7.49,0.0324,12,19.27,117.47,106.28,0
79,ORD-202401-00160,3,20240105,20240109,96,9,3,21,2,5,338.74,356.0,17.26,0.0485,5,71.2,212.24,126.5,0
80,ORD-202401-00162,1,20240105,20240107,234,1,1,25,3,8,286.58,302.92,16.34,0.0539,1,302.92,244.58,42.0,0
81,ORD-202401-00162,2,20240105,20240107,234,1,1,15,3,8,118.07,118.44,0.37,0.0032,6,19.74,82.44,35.63,0
82,ORD-202401-00174,1,20240105,20240107,107,4,2,13,1,10,134.5,136.68,2.18,0.016,12,11.39,62.41,72.08,0
83,ORD-202401-00174,2,20240105,20240107,107,4,2,17,1,10,111.1,113.49,2.39,0.021,9,12.61,53.93,57.18,0
84,ORD-202401-00174,3,20240105,20240107,107,4,2,2,1,10,939.56,966.15,26.59,0.0275,5,193.23,574.2,365.36,0
85,ORD-202401-00043,1,20240106,20240108,87,12,4,1,3,3,1183.19,1219.36,36.17,0.0297,4,304.84,743.82,439.37,0
86,ORD-202401-00043,2,20240106,20240108,87,12,4,22,3,3,194.56,202.8,8.24,0.0406,2,101.4,116.94,77.62,0
87,ORD-202401-00110,1,20240106,20240108,45,7,3,6,3,6,401.56,407.74,6.18,0.0152,2,203.87,279.04,122.52,0
88,ORD-202401-00110,2,20240106,20240108,45,7,3,20,3,6,363.51,371.0,7.49,0.0202,10,37.1,214.8,148.71,0
89,ORD-202401-00138,1,20240106,20240110,243,12,4,10,2,4,94.18,96.54,2.36,0.0244,6,16.09,58.54,35.65,0
90,ORD-202401-00138,2,20240106,20240110,243,12,4,22,2,4,463.55,482.4,18.85,0.0391,5,96.48,282.54,181.01,0
91,ORD-202401-00138,3,20240106,20240110,243,12,4,18,2,4,107.09,111.44,4.35,0.039,7,15.92,52.7,54.39,0
92,ORD-202401-00018,1,20240107,20240114,129,13,5,27,2,11,1172.06,1256.49,84.43,0.0672,3,418.83,977.92,194.14,0
93,ORD-202401-00049,1,20240107,20240110,234,1,1,21,1,7,448.33,453.78,5.45,0.012,6,75.63,243.9,204.43,0
94,ORD-202401-00049,2,20240107,20240110,234,1,1,11,1,7,133.94,135.0,1.06,0.0079,6,22.5,77.63,56.31,0
95,ORD-202401-00061,1,20240107,20240111,58,4,2,3,3,10,1719.22,1780.02,60.8,0.0342,3,593.34,1455.64,263.58,0
96,ORD-202401-00061,2,20240107,20240111,58,4,2,28,3,10,719.42,722.16,2.74,0.0038,3,240.72,599.17,120.25,0
97,ORD-202401-00072,1,20240107,20240110,44,13,5,21,4,2,454.14,477.82,23.68,0.0496,7,68.26,283.83,170.31,0
98,ORD-202401-00072,2,20240107,20240110,44,13,5,6,4,2,438.68,453.7,15.02,0.0331,2,226.85,280.11,158.57,0
99,ORD-202401-00072,3,20240107,20240110,44,13,5,4,4,2,2495.64,2569.53,73.89,0.0288,3,856.51,1831.52,664.12,0
100,ORD-202401-00074,1,20240107,20240110,220,3,1,14,4,8,79.5,81.81,2.31,0.0283,9,9.09,37.7,41.8,0
101,ORD-202401-00074,2,20240107,20240110,220,3,1,20,4,8,203.51,209.95,6.44,0.0307,5,41.99,105.49,98.03,0
102,ORD-202401-00092,1,20240107,20240110,197,4,2,21,4,9,378.99,391.3,12.31,0.0315,5,78.26,211.75,167.24,0
103,ORD-202401-00103,1,20240107,20240110,131,8,3,2,3,5,1087.31,1111.74,24.43,0.022,6,185.29,681.16,406.16,0
104,ORD-202401-00103,2,20240107,20240110,131,8,3,20,3,5,311.38,318.56,7.18,0.0225,8,39.82,166.2,145.17,0
105,ORD-202401-00164,1,20240107,20240109,18,10,4,27,3,12,1184.64,1218.51,33.87,0.0278,3,406.17,1015.84,168.8,0
106,ORD-202401-00177,1,20240107,20240112,48,2,1,26,2,7,1901.81,2017.84,116.03,0.0575,4,504.46,1500.27,401.54,0
107,ORD-202401-00177,2,20240107,20240112,48,2,1,27,2,7,1536.44,1630.4,93.96,0.0576,4,407.6,1389.74,146.7,0
108,ORD-202401-00008,1,20240108,20240111,105,3,1,13,4,8,55.12,56.1,0.98,0.0175,5,11.22,25.27,29.85,0
