Target Month,Region,Sales Channel,Sales Target
2024-01-01,Midwest,Direct Sales,9731.18
2024-01-01,Midwest,Distributors,15757.81
2024-01-01,Midwest,Online,10417.36
2024-01-01,Midwest,Retail Stores,12762.94
2024-01-01,North,Direct Sales,6095.63
2024-01-01,North,Distributors,5273.03
2024-01-01,North,Online,20698.98
2024-01-01,North,Retail Stores,3819.92
2024-01-01,Northeast,Direct Sales,9756.54
2024-01-01,Northeast,Distributors,11512.59
2024-01-01,Northeast,Online,27579.64
2024-01-01,Northeast,Retail Stores,26130.64
2024-01-01,South,Direct Sales,12635.66
2024-01-01,South,Distributors,16408.81
2024-01-01,South,Online,7617.45
2024-01-01,South,Retail Stores,14513.22
2024-01-01,Southeast,Direct Sales,10107.72
2024-01-01,Southeast,Distributors,15757.54
2024-01-01,Southeast,Online,15257.47
2024-01-01,Southeast,Retail Stores,35271.61
2024-02-01,Midwest,Direct Sales,3231.52
2024-02-01,Midwest,Distributors,23439.62
2024-02-01,Midwest,Online,11901.7
2024-02-01,Midwest,Retail Stores,8017.77
2024-02-01,North,Direct Sales,5022.22
2024-02-01,North,Distributors,12915.96
2024-02-01,North,Online,12027.15
2024-02-01,North,Retail Stores,15805.26
2024-02-01,Northeast,Direct Sales,8173.23
2024-02-01,Northeast,Distributors,29895.51
2024-02-01,Northeast,Online,11328.41
2024-02-01,Northeast,Retail Stores,10874.72
2024-02-01,South,Direct Sales,10095.96
2024-02-01,South,Distributors,14089.46
2024-02-01,South,Online,11260.7
2024-02-01,South,Retail Stores,25195.02
2024-02-01,Southeast,Direct Sales,9106.12
2024-02-01,Southeast,Distributors,20337.28
2024-02-01,Southeast,Online,2304.35
2024-02-01,Southeast,Retail Stores,25366.36
2024-03-01,Midwest,Direct Sales,6549.96
2024-03-01,Midwest,Distributors,12548.51
2024-03-01,Midwest,Online,3941.03
2024-03-01,Midwest,Retail Stores,16453.32
2024-03-01,North,Direct Sales,3084.57
2024-03-01,North,Distributors,4325.94
2024-03-01,North,Online,8607.82
2024-03-01,North,Retail Stores,2323.84
2024-03-01,Northeast,Direct Sales,16807.66
2024-03-01,Northeast,Distributors,7646.33
2024-03-01,Northeast,Online,13244.52
2024-03-01,Northeast,Retail Stores,5163.26
2024-03-01,South,Direct Sales,18487.7
2024-03-01,South,Distributors,13970.02
2024-03-01,South,Online,24663.27
2024-03-01,South,Retail Stores,6227.91
2024-03-01,Southeast,Direct Sales,20217.72
2024-03-01,Southeast,Distributors,29125.26
2024-03-01,Southeast,Online,35634.89
2024-03-01,Southeast,Retail Stores,22437.5
2024-04-01,Midwest,Direct Sales,13013.02
2024-04-01,Midwest,Distributors,13493.59
2024-04-01,Midwest,Online,19084.74
2024-04-01,Midwest,Retail Stores,21492.5
2024-04-01,North,Direct Sales,9375.88
2024-04-01,North,Distributors,17317.43
2024-04-01,North,Online,10987.79
2024-04-01,North,Retail Stores,908.61
2024-04-01,Northeast,Direct Sales,4371.43
2024-04-01,Northeast,Distributors,12104.57
2024-04-01,Northeast,Online,23133.37
2024-04-01,Northeast,Retail Stores,26568.21
2024-04-01,South,Direct Sales,15099.28
2024-04-01,South,Distributors,6890.77
2024-04-01,South,Online,21787.43
2024-04-01,South,Retail Stores,15835.42
2024-04-01,Southeast,Direct Sales,20991.62
2024-04-01,Southeast,Distributors,24671.61
2024-04-01,Southeast,Online,41595.33
2024-04-01,Southeast,Retail Stores,4922.2
2024-05-01,Midwest,Direct Sales,4878.77
2024-05-01,Midwest,Distributors,3539.84
2024-05-01,Midwest,Online,39447.21
2024-05-01,Midwest,Retail Stores,12209.6
2024-05-01,North,Direct Sales,9538.47
2024-05-01,North,Distributors,10016.38
2024-05-01,North,Online,9059.48
2024-05-01,North,Retail Stores,9846.59
2024-05-01,Northeast,Direct Sales,6907.36
2024-05-01,Northeast,Distributors,4183.25
2024-05-01,Northeast,Online,36194.35
2024-05-01,Northeast,Retail Stores,16339.26
2024-05-01,South,Direct Sales,25353.01
2024-05-01,South,Distributors,32738.65
2024-05-01,South,Online,11885.44
2024-05-01,South,Retail Stores,26656.89
2024-05-01,Southeast,Direct Sales,31267.76
2024-05-01,Southeast,Distributors,23446.3
2024-05-01,Southeast,Online,21898.72
2024-05-01,Southeast,Retail Stores,17296.71
2024-06-01,Midwest,Direct Sales,10266.13
2024-06-01,Midwest,Distributors,6951.88
2024-06-01,Midwest,Online,30764.13
2024-06-01,Midwest,Retail Stores,17389.39
2024-06-01,North,Direct Sales,8130.25
2024-06-01,North,Distributors,7553.79
2024-06-01,North,Online,15661.56
2024-06-01,North,Retail Stores,15244.74
2024-06-01,Northeast,Direct Sales,6715.03
2024-06-01,Northeast,Distributors,5125.69
2024-06-01,Northeast,Online,11035.9
2024-06-01,Northeast,Retail Stores,16529.53
2024-06-01,South,Direct Sales,26434.76
2024-06-01,South,Distributors,33124.94
2024-06-01,South,Online,17330.24
2024-06-01,South,Retail Stores,9928.75
2024-06-01,Southeast,Direct Sales,27500.87
2024-06-01,Southeast,Distributors,17801.0
2024-06-01,Southeast,Online,31156.25
2024-06-01,Southeast,Retail Stores,25009.51
